"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"1","ENSG00000000003.15",167.723370090512,150.617596330079,169.552724396447,286.573096682254,186.32131800682,212.699522073964,270.508117482144,161.772926726126,196.047139453927,240.832282637741,201.191252726059,235.966399545652,244.934135416023,"ENSG00000000003","TSPAN6"
"2","ENSG00000000419.14",1133.51957496605,982.145154755352,1034.68862592609,1329.85055377862,959.827876315951,706.149511411648,850.366776186637,1052.1680339086,943.726834141184,985.831712898436,840.683769887695,985.001965320863,905.872028514884,"ENSG00000000419","DPM1"
"3","ENSG00000000457.14",403.814132089001,306.055299908541,395.302448672941,519.179453039921,372.618479151522,352.52047572765,306.622066979046,368.168724566942,395.253461662938,294.61044278109,333.374645322842,384.704927395579,329.848932659809,"ENSG00000000457","SCYL3"
"4","ENSG00000000938.13",43.0830387759045,66.1876343985697,223.824241871136,60.2381475899437,91.8132494119561,121.881767769923,107.411122077521,107.061626438194,98.0757735793323,73.7353165242908,72.2584745018083,55.8923953639741,237.651088415058,"ENSG00000000938","FGR"
"5","ENSG00000000971.17",1501.76718906479,1329.68171172043,1507.42323551264,1537.32948685213,1562.80881051339,9687.91028543728,2900.50043500793,2159.45138634072,1722.09447095482,1597.4582567162,2261.99439439362,2742.57132576155,3444.09782970684,"ENSG00000000971","CFH"
"6","ENSG00000001036.14",287.034942026269,207.766053144019,280.409509424276,282.357490375327,356.308718030395,501.496013389619,547.260113885328,324.311161444398,309.989446083615,362.727230791584,364.931947974332,333.856529756999,472.289556002793,"ENSG00000001036","FUCA2"
"7","ENSG00000001084.13",587.755276752442,306.835620584609,456.150785171135,476.937895693076,391.287751854432,356.473938715547,372.643350371262,431.73066490378,377.638599436763,496.221612872988,405.746130914139,432.374368104545,385.23016028214,"ENSG00000001084","GCLC"
"8","ENSG00000001167.15",363.728172531625,426.568040943603,551.25292688344,372.631932778568,501.136421000557,639.521584981854,526.174846733203,589.959757005145,512.379726547686,581.916080537578,636.12652958613,597.333366582584,590.557768353567,"ENSG00000001167","NFYA"
"9","ENSG00000001461.17",449.743078923759,500.636688532219,300.840299069388,389.04969457126,265.080533417438,240.705045142722,392.625417556625,477.318034513932,317.889353671479,399.546342201429,457.437478918788,367.095979261254,432.660261556619,"ENSG00000001461","NIPAL3"
"10","ENSG00000001497.18",716.04445553067,695.306743785618,1016.7687247652,837.95712410821,763.400528141862,923.823668854633,729.81762860861,738.89411805971,733.085779378955,752.259022945063,796.165994533723,821.846177641866,802.66399037004,"ENSG00000001497","LAS1L"
