"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"1","ENSG00000000003.15",209.595375505212,0.1649521965346,0.196240387024404,0.840561920182548,0.400593399191649,0.606761850073289,"ENSG00000000003","TSPAN6"
"2","ENSG00000000419.14",977.679416770155,-0.294340882330883,0.120671128914779,-2.43919887862119,0.0147198647225332,0.0739809968552554,"ENSG00000000419","DPM1"
"3","ENSG00000000457.14",366.313345381371,-0.221917495190995,0.141797501157609,-1.56503107162891,0.117575623949234,0.283341174166928,"ENSG00000000457","SCYL3"
"4","ENSG00000000938.13",104.54722128597,0.126454260105466,0.445724250076665,0.283705138510449,0.776636356512427,0.877544665012869,"ENSG00000000938","FGR"
"5","ENSG00000000971.17",2611.92990907556,1.08669487853919,0.4055339982188,2.67966405606485,0.00736960805367797,0.0472483691644293,"ENSG00000000971","CFH"
"6","ENSG00000001036.14",356.21067017915,0.586949612422057,0.184953906729407,3.17349129197245,0.00150617419878837,0.0166826723161036,"ENSG00000001036","FUCA2"
"7","ENSG00000001084.13",421.309704281297,-0.174182257451679,0.156250367901877,-1.11476382289905,0.26495164308201,0.475669590775513,"ENSG00000001084","GCLC"
"8","ENSG00000001167.15",529.945165728118,0.427982898903356,0.128281833724549,3.33627051061909,0.000849104992122322,0.011367770865659,"ENSG00000001167","NFYA"
"9","ENSG00000001461.17",383.894477487455,-0.140423335031402,0.205711936432745,-0.682621229795829,0.494846215578565,0.685207939895072,"ENSG00000001461","NIPAL3"
"10","ENSG00000001497.18",794.464150517243,-0.0563331267675578,0.115221477925438,-0.488911683670747,0.624904223622565,0.780552455108753,"ENSG00000001497","LAS1L"
"11","ENSG00000001561.7",1859.9157599673,-0.275089109667279,0.146873406837133,-1.87296744585168,0.06107288050386,0.186964359110264,"ENSG00000001561","ENPP4"
"12","ENSG00000001617.12",311.820058072899,0.34375084416596,0.240101861478614,1.43168754314959,0.152233262992458,0.334303785612215,"ENSG00000001617","SEMA3F"
"13","ENSG00000001629.10",730.52086670745,-0.02509411997549,0.0823625985448977,-0.304678584926029,0.760610961364921,0.868011527884803,"ENSG00000001629","ANKIB1"
"14","ENSG00000001630.18",306.389493356331,0.141750253116596,0.29242419115343,0.484741883212468,0.627859452549739,0.782637238280114,"ENSG00000001630","CYP51A1"
"15","ENSG00000001631.17",896.701141380283,-0.277978225832628,0.09357216914457,-2.97073615342986,0.00297086896697728,0.0267217371121004,"ENSG00000001631","KRIT1"
"16","ENSG00000002016.18",413.318281092248,-0.478336495094437,0.239279309722466,-1.99907169428585,0.0456005972386027,0.155250276898404,"ENSG00000002016","RAD52"
"17","ENSG00000002330.14",555.513067072048,-0.170346148766261,0.171696860414904,-0.992133160470269,0.32113257231154,0.533920202427906,"ENSG00000002330","BAD"
"18","ENSG00000002549.13",2079.55566185491,0.0772036142424856,0.125787222361737,0.613763566703654,0.53937157596425,0.719924897491099,"ENSG00000002549","LAP3"
"19","ENSG00000002586.20",3039.11747841392,0.707483554964578,0.210814120868751,3.35595904130656,0.000790902811156992,0.0108900024719217,"ENSG00000002586","CD99"
"20","ENSG00000002822.16",601.689980049806,-0.143395118227248,0.324683167050393,-0.441646296387741,0.658745176913792,0.801130022744683,"ENSG00000002822","MAD1L1"
"21","ENSG00000002834.18",1630.62207707587,0.469239794340149,0.161060630888225,2.91343571518603,0.00357475430438549,0.0299096349352541,"ENSG00000002834","LASP1"
"22","ENSG00000002919.15",299.01340685394,0.134919864165796,0.200353762124842,0.673408189269368,0.500687640101677,0.68952010117022,"ENSG00000002919","SNX11"
"23","ENSG00000002933.9",197.30740093425,1.56210041552359,0.415710534643507,3.75766377165104,0.000171507117230235,0.00403770804329481,"ENSG00000002933","TMEM176A"
"24","ENSG00000003056.8",1355.38657518471,0.0183342760802329,0.0804979191427528,0.227760869789931,0.819832148556637,0.904418556213156,"ENSG00000003056","M6PR"
"25","ENSG00000003096.15",199.167309808541,0.250103796897337,0.181044930582158,1.38144600952436,0.167141867529889,0.355237558364878,"ENSG00000003096","KLHL13"
"26","ENSG00000003137.9",271.791484697369,2.84962422877738,0.477680182473179,5.96554835920451,2.438138220094e-09,6.7513208332603e-07,"ENSG00000003137","CYP26B1"
"27","ENSG00000003147.19",151.668798872439,0.313762033591486,0.265866044114269,1.18015083361541,0.237940229762438,0.443391638557124,"ENSG00000003147","ICA1"
"28","ENSG00000003249.15",624.847593271945,-0.694332118155889,0.309702055342945,-2.24193577723282,0.0249655233354033,0.106121723827025,"ENSG00000003249","DBNDD1"
"29","ENSG00000003393.16",1208.7721298253,-0.151594923253589,0.0998121761439445,-1.5188019048394,0.128812366300864,0.300218000015841,"ENSG00000003393","ALS2"
"30","ENSG00000003400.16",334.758750440072,0.0596650083545345,0.204520920918509,0.291730587201433,0.770492620792074,0.874088646905283,"ENSG00000003400","CASP10"
"31","ENSG00000003402.21",6503.12475939071,0.256447096748485,0.192115355683919,1.33485996387716,0.181922183377353,0.374224113829115,"ENSG00000003402","CFLAR"
"32","ENSG00000003436.16",731.162911128356,0.355376073962704,0.162790856392915,2.18302232592819,0.0290341659217037,0.116920827447858,"ENSG00000003436","TFPI"
"33","ENSG00000003509.16",500.802677491388,-0.14082180385373,0.198056749811379,-0.711017443171426,0.477073426684599,0.670130196951682,"ENSG00000003509","NDUFAF7"
"34","ENSG00000003756.17",4745.73395175203,-0.160420179628455,0.119860208419545,-1.33839396530113,0.180768045068877,0.372820068123965,"ENSG00000003756","RBM5"
