Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
P20290	BTF3	0.10451114083224	58882.720703125	41324.10546875	0.510825831794041	0.193390736248121
Q96Q80	DERL3	0.104722270279961	15486.9732881434	3702.0810546875	2.06425718383223	0.19371450341497
O14562	UBFD1	0.104832442321129	55052.7403492647	77267.37890625	-0.489063752149839	0.19382130661098
Q9Y3E1	HDGFL3	0.104852370087478	56584.2526424632	21816.9714355469	1.37488363712897	0.19382130661098
Q9BUH6	PAXX	0.10522462544269	9305.73884133732	3846.92028808594	1.27404178634845	0.194442331319934
Q02156	PRKCE	0.105523943416203	5944.75577320772	3601.33776855469	0.722684081312356	0.194904787083923
Q8N6H7	ARFGAP2	0.105547654905817	23187.7291475184	16148.2863769531	0.52189112403593	0.194904787083923
P16144	ITGB4	0.106018833709898	152049.591911765	94749.716796875	0.682333181759613	0.195613987675131
P63241	EIF5A	0.106041258205821	788896.104779412	973291.34375	-0.303037892179439	0.195613987675131
Q76M96	CCDC80	0.105990398600157	11211.1574132583	2857.2470703125	1.97173269101061	0.195613987675131
Q5MNZ6	WDR45B	0.106095791282954	5893.61638327206	3764.71154785156	0.646230663930933	0.19564721304743
Q15269	PWP2	0.106183995686188	22649.4635799632	17518.0341796875	0.370553640828099	0.195742486197834
Q9BUK0	CHCHD7	0.106334870230182	20346.1591796875	50011.69921875	-1.29753799308769	0.195885797738337
Q9BZE9	ASPSCR1	0.10631237256724	18637.5835248162	14102.6015625	0.402151194887339	0.195885797738337
P07237	P4HB	0.106582139692902	897660.694852941	787508.125	0.188873585960926	0.196273813109274
O60524	NEMF	0.106772190228867	29935.2489659927	17138.6447753906	0.804508059476512	0.19655622785431
O43310	CTIF	0.106863156777309	7193.35954015395	2529.88061523438	1.50702625967685	0.196588879324859
O95363	FARS2	0.106870538162196	11914.8935546875	9341.52624511719	0.350881446274849	0.196588879324859
Q9NZJ6	COQ3	0.106900019688877	163270.977251838	232688.23828125	-0.511136125746299	0.196588879324859
P52824	DGKQ	0.107285613448122	1339.4488884421	391.142913818359	1.77218809525693	0.197230278394505
Q9Y6P5	SESN1	0.107327620962367	45757.1702665441	59810.5966796875	-0.386427395939342	0.197239816636502
Q6UX15	LAYN	0.107483014408198	3587.56209788603	508.642578125	2.8154460861235	0.197389958239532
Q9Y3D2	MSRB2	0.107473673053468	16811.5927159926	30713.1752929688	-0.869448235234133	0.197389958239532
Q8NG11	TSPAN14	0.107562943357055	12390.4818761489	5254.73364257813	1.23726822847199	0.197401400330162
Q9P2L0	WDR35	0.107560616599382	12070.1772101907	1388.44944286346	3.11886161134969	0.197401400330162
O00757	FBP2	0.108221767075832	2887137.46323529	4987151	-0.788576375361613	0.198542467885353
Q9Y277	VDAC3	0.108293452772936	3557782.95588235	4486376.75	-0.334572598451499	0.198605965937904
Q9NRX4	PHPT1	0.108480095357893	228960.699448529	305118.109375	-0.414272553175321	0.198880174822804
Q96GS4	BORCS6	0.108581040358514	6136.69271312041	2798.15380859375	1.13247058156075	0.19897233936283
Q9BQC3	DPH2	0.108604651912808	12404.218347886	7801.26159667969	0.668866551213414	0.19897233936283
Q9HBI1	PARVB	0.108680277242064	115433.131893382	96596.349609375	0.257001858440242	0.198974793296562
Q9UN37	VPS4A	0.108651737635793	68528.1681985294	87365.0625	-0.350375847770075	0.198974793296562
O00391	QSOX1	0.108752632966142	14770.3017721737	6192.30297851563	1.25391837208675	0.19903923976755
